R,F,M,label
120,1,19700,0
112,2,14900,0
249,1,161000,0
24,2,41200,0
60,4,163200,0
47,4,34467,0
109,6,631560,0
120,4,811180,0
87,1,960300,0
285,2,112000,0
29,3,35600,0
103,4,40800,0
197,4,18000,0
139,1,215120,0
140,2,22540,0
18,2,6880,0
84,1,50000,0
319,1,26790,0
194,2,5400,0
137,3,11700,0
52,5,222400,0
110,6,512180,0
27,2,107400,0
302,1,10000,0
228,2,117700,0
87,4,222080,0
152,3,751500,0
264,1,36240,0
106,3,83460,0
87,2,48000,0
295,1,3000,0
98,3,93070,0
150,4,261200,0
111,2,1013400,0
312,1,53620,0
24,1,37700,0
264,2,9360,0
85,3,168000,0
120,1,71100,0
165,1,422400,0
53,3,516800,0
272,1,138620,0
355,3,248680,0
71,3,116400,0
40,4,386750,0
208,1,235870,0
43,1,6050,0
237,2,31428,0
15,2,16700,0
90,5,505000,0
113,3,54850,0
28,4,669375,0
55,5,59340,0
91,5,825000,0
323,1,5400,0
87,4,37780,0
183,1,22400,0
55,2,41200,0
50,1,1600,0
274,2,151830,0
208,1,5600,0
165,1,48070,0
87,1,12900,0
56,2,34200,0
152,2,60000,0
165,1,263473,0
28,3,6750,0
257,1,143800,0
102,1,2300,0
27,2,60000,0
252,1,400000,0
165,3,476700,0
53,2,1530500,0
56,4,1984000,0
347,1,48000,0
60,3,550300,0
46,1,67500,0
131,1,1372000,0
110,3,64700,0
15,1,3200,0
116,2,600,0
60,5,309300,0
165,4,173400,0
29,2,84300,0
28,3,72650,0
87,2,19860,0
213,3,270000,0
103,1,17400,0
341,1,12600,0
55,4,64300,0
60,2,64000,0
90,10,2878500,1
40,13,3920360,1
27,13,159625,1
87,13,1047285.5,1
43,9,1263730,1
20,8,3323000,1
15,12,331892,1
24,6,1392728,1
15,11,1712945,1
91,6,804720,1
29,8,174964,1
29,7,698300,1
152,7,264000,1
12,8,1062800,1
81,9,65500,1
28,7,1581185,1
14,8,1413900,1
46,7,321150,1
82,16,2021680,1
15,12,1459660,1
47,15,415119,1
46,7,1633860,1
15,10,198116,1
46,8,743350,1
73,6,48400,1
24,12,1246550,1
24,7,353600,1
24,6,129000,1
8,8,478200,1
14,6,353875,1
14,4,179300,1
29,12,371400,1
29,6,156280,1
25,6,114750,1
29,9,516750,1
27,10,776430,1
81,10,216560,1
91,10,1576000,1
175,8,172900,1
24,13,505500,1
20,11,361490,1
75,8,34800,1
28,10,1275753,1
50,9,614000,1
14,40,1670020,2
12,71,13436924,2
8,52,4402044,2
7,70,1540150,2
12,12,1522080,2
24,17,456000,2
29,24,2374010,2
60,22,807850,2
8,17,149550,2
41,29,2152950,2
15,76,16787803,2
15,20,593150,2
12,27,352200,2
29,38,4883406.6,2
24,19,2996400,2
13,154,15322425.1,2
13,49,3075540,2
11,19,177860,2
11,126,15553016,2
12,33,2013010,2
20,16,577500,2
47,31,1755284,2
53,37,2728620,2
18,29,2688250,2
11,464,52182732.69,2
15,15,221030,2
36,23,711105,2
13,32,1521000,2
27,34,1060550,2
12,93,6082380,2
24,17,209800,2
15,72,1886820,2
15,22,1566659.4,2
12,53,2279600,2
15,134,9151680.5,2
15,66,17117950,2
14,104,11397875,2
41,17,344850,2
24,18,575640,2
15,39,2095220,2
12,20,646600,2
48,24,271386,2
29,20,2922100,2